Pd_hat,Pd_obs,Pd_ucl,Pd_lcl,timestamp
0.0,0.39698626347140725,0.0,0.0,2013-12-04 09:00:00
0.0,0.3934859608779329,0.0,0.0,2013-12-04 10:00:00
0.0,0.41052164456072426,0.0,0.0,2013-12-04 11:00:00
0.0,0.5085143391929917,0.0,0.0,2013-12-04 12:00:00
0.0,0.5993762751814998,0.0,0.0,2013-12-04 13:00:00
0.0,0.6183018649142173,0.0,0.0,2013-12-04 14:00:00
0.0,0.5713140385638467,0.0,0.0,2013-12-04 15:00:00
0.0,0.5429150243679433,0.0,0.0,2013-12-04 16:00:00
0.0,0.5818270013307814,0.0,0.0,2013-12-04 17:00:00
0.0,0.6769346154287382,0.0,0.0,2013-12-04 18:00:00
0.0,0.7733871042043454,0.0,0.0,2013-12-04 19:00:00
0.0,0.8302477120234677,0.0,0.0,2013-12-04 20:00:00
0.0,0.9650116227560264,0.0,0.0,2013-12-04 21:00:00
0.0,0.9136030088291482,0.0,0.0,2013-12-04 22:00:00
0.0,0.6046153328401744,0.0,0.0,2013-12-04 23:00:00
0.0,0.3629337773546913,0.0,0.0,2013-12-05 00:00:00
0.0,0.19966500633940337,0.0,0.0,2013-12-05 01:00:00
0.0,0.08783863167511424,0.0,0.0,2013-12-05 02:00:00
0.0,0.07476065147919846,0.0,0.0,2013-12-05 03:00:00
0.0,0.07892093015449612,0.0,0.0,2013-12-05 04:00:00
0.0,0.10185981586710473,0.0,0.0,2013-12-05 05:00:00
0.0,0.10941838422259888,0.0,0.0,2013-12-05 06:00:00
0.0,0.34047729309014635,0.0,0.0,2013-12-05 07:00:00
0.0,0.4345601185689178,0.0,0.0,2013-12-05 08:00:00
0.0,0.3882904728601511,0.0,0.0,2013-12-05 09:00:00
0.0,0.3800731449389896,0.0,0.0,2013-12-05 10:00:00
0.0,0.39801397631999424,0.0,0.0,2013-12-05 11:00:00
0.0,0.49383700291147203,0.0,0.0,2013-12-05 12:00:00
0.0,0.5862486519451654,0.0,0.0,2013-12-05 13:00:00
0.0,0.6054914999101132,0.0,0.0,2013-12-05 14:00:00
0.0,0.5603215067657096,0.0,0.0,2013-12-05 15:00:00
0.0,0.5318229540044835,0.0,0.0,2013-12-05 16:00:00
0.0,0.5673342082548131,0.0,0.0,2013-12-05 17:00:00
0.0,0.6589022239921436,0.0,0.0,2013-12-05 18:00:00
0.0,0.7519893241112899,0.0,0.0,2013-12-05 19:00:00
0.0,0.7983274114780556,0.0,0.0,2013-12-05 20:00:00
0.0,0.9288428208655584,0.0,0.0,2013-12-05 21:00:00
0.0,0.8901156671365187,0.0,0.0,2013-12-05 22:00:00
0.0,0.6103316917603114,0.0,0.0,2013-12-05 23:00:00
0.0,0.6087148407951962,0.0,0.0,2013-12-06 00:00:00
0.0,0.46691199773083475,0.0,0.0,2013-12-06 01:00:00
0.0,0.32030472839126095,0.0,0.0,2013-12-06 02:00:00
0.0,0.2164217864785808,0.0,0.0,2013-12-06 03:00:00
0.0,0.1772848733831851,0.0,0.0,2013-12-06 04:00:00
0.0,0.18404257931411044,0.0,0.0,2013-12-06 05:00:00
0.0,0.1952757471891579,0.0,0.0,2013-12-06 06:00:00
0.0,0.2615666000338687,0.0,0.0,2013-12-06 07:00:00
0.0,0.2908742553951355,0.0,0.0,2013-12-06 08:00:00
0.0,0.39412977336207605,0.0,0.0,2013-12-06 09:00:00
0.0,0.5460429536613801,0.0,0.0,2013-12-06 10:00:00
0.0,0.6004059436371905,0.0,0.0,2013-12-06 11:00:00
0.0,0.6602911686890298,0.0,0.0,2013-12-06 12:00:00
0.0,0.6796390042935537,0.0,0.0,2013-12-06 13:00:00
0.0,0.6896530668989731,0.0,0.0,2013-12-06 14:00:00
0.0,0.6605938929961662,0.0,0.0,2013-12-06 15:00:00
0.0,0.6125715275348538,0.0,0.0,2013-12-06 16:00:00
0.0,0.5821234640226846,0.0,0.0,2013-12-06 17:00:00
0.0,0.6472445746099388,0.0,0.0,2013-12-06 18:00:00
0.0,0.7174549552873618,0.0,0.0,2013-12-06 19:00:00
0.0,0.8149241899036439,0.0,0.0,2013-12-06 20:00:00
0.0,0.8967761803125204,0.0,0.0,2013-12-06 21:00:00
0.0,0.8540966987208267,0.0,0.0,2013-12-06 22:00:00
0.0,0.6553007439795063,0.0,0.0,2013-12-06 23:00:00
0.0,0.5060971720879208,0.0,0.0,2013-12-07 00:00:00
0.0,0.3096313048480367,0.0,0.0,2013-12-07 01:00:00
0.0,0.18989898449225137,0.0,0.0,2013-12-07 02:00:00
0.0,0.14825159061667947,0.0,0.0,2013-12-07 03:00:00
0.0,0.11238722533722022,0.0,0.0,2013-12-07 04:00:00
0.0,0.124179104653015,0.0,0.0,2013-12-07 05:00:00
0.0,0.11860752033669567,0.0,0.0,2013-12-07 06:00:00
0.0,0.14188243535535286,0.0,0.0,2013-12-07 07:00:00
0.0,0.2097754721119019,0.0,0.0,2013-12-07 08:00:00
0.0,0.3089901824713179,0.0,0.0,2013-12-07 09:00:00
0.0,0.40794042680904674,0.0,0.0,2013-12-07 10:00:00
0.0,0.45724107072206566,0.0,0.0,2013-12-07 11:00:00
0.0,0.4734167096169555,0.0,0.0,2013-12-07 12:00:00
0.0,0.5597569468661595,0.0,0.0,2013-12-07 13:00:00
0.0,0.6198267564391933,0.0,0.0,2013-12-07 14:00:00
0.0,0.585721367936886,0.0,0.0,2013-12-07 15:00:00
0.0,0.541468940136741,0.0,0.0,2013-12-07 16:00:00
0.0,0.5574128349992267,0.0,0.0,2013-12-07 17:00:00
0.0,0.6745275017968058,0.0,0.0,2013-12-07 18:00:00
0.0,0.7673506867695058,0.0,0.0,2013-12-07 19:00:00
0.0,0.7972045670660696,0.0,0.0,2013-12-07 20:00:00
0.0,0.8286080961390407,0.0,0.0,2013-12-07 21:00:00
0.0,0.7903588220904662,0.0,0.0,2013-12-07 22:00:00
0.0,0.6506847629427989,0.0,0.0,2013-12-07 23:00:00
0.0,0.5465667074774937,0.0,0.0,2013-12-08 00:00:00
0.0,0.4203072821570632,0.0,0.0,2013-12-08 01:00:00
0.0,0.2799297415554578,0.0,0.0,2013-12-08 02:00:00
0.0,0.18400192931199208,0.0,0.0,2013-12-08 03:00:00
0.0,0.1469139829015762,0.0,0.0,2013-12-08 04:00:00
0.0,0.15778081415109618,0.0,0.0,2013-12-08 05:00:00
0.0,0.1700123699494306,0.0,0.0,2013-12-08 06:00:00
0.0,0.221748203769137,0.0,0.0,2013-12-08 07:00:00
0.0,0.2446250930640597,0.0,0.0,2013-12-08 08:00:00
0.0,0.3473790345339418,0.0,0.0,2013-12-08 09:00:00
0.0,0.515361071153401,0.0,0.0,2013-12-08 10:00:00
0.0,0.5715213466887097,0.0,0.0,2013-12-08 11:00:00
0.0,0.6216153703042812,0.0,0.0,2013-12-08 12:00:00
0.0,0.636661792996904,0.0,0.0,2013-12-08 13:00:00
0.0,0.6556583538230997,0.0,0.0,2013-12-08 14:00:00
0.0,0.6310536305646185,0.0,0.0,2013-12-08 15:00:00
0.0,0.5859253570384252,0.0,0.0,2013-12-08 16:00:00
0.0,0.5599375650856228,0.0,0.0,2013-12-08 17:00:00
0.0,0.631171196522185,0.0,0.0,2013-12-08 18:00:00
0.0,0.7126149103372276,0.0,0.0,2013-12-08 19:00:00
0.0,0.8204002570438959,0.0,0.0,2013-12-08 20:00:00
0.0,0.8998958372960965,0.0,0.0,2013-12-08 21:00:00
0.0,0.8422291199657399,0.0,0.0,2013-12-08 22:00:00
0.0,0.632665812862071,0.0,0.0,2013-12-08 23:00:00
0.0,0.4563093570653814,0.0,0.0,2013-12-09 00:00:00
0.0,0.26306796000482324,0.0,0.0,2013-12-09 01:00:00
0.0,0.06736831890876463,0.0,0.0,2013-12-09 02:00:00
0.0,0.0616848518311095,0.0,0.0,2013-12-09 03:00:00
0.0,0.06335451795990313,0.0,0.0,2013-12-09 04:00:00
0.0,0.07525840857458976,0.0,0.0,2013-12-09 05:00:00
0.0,0.08783509230169433,0.0,0.0,2013-12-09 06:00:00
0.0,0.30121289369222914,0.0,0.0,2013-12-09 07:00:00
0.0,0.3696081634054982,0.0,0.0,2013-12-09 08:00:00
0.0,0.34000909045140537,0.0,0.0,2013-12-09 09:00:00
0.0,0.3508869621588694,0.0,0.0,2013-12-09 10:00:00
0.0,0.3776698048024541,0.0,0.0,2013-12-09 11:00:00
0.0,0.46994759574334477,0.0,0.0,2013-12-09 12:00:00
0.0,0.5601399612395918,0.0,0.0,2013-12-09 13:00:00
0.0,0.5845984500748678,0.0,0.0,2013-12-09 14:00:00
0.0,0.5293234769572351,0.0,0.0,2013-12-09 15:00:00
0.0,0.49685123614590654,0.0,0.0,2013-12-09 16:00:00
0.0,0.530281292919063,0.0,0.0,2013-12-09 17:00:00
