,Pd_hat,Pd_obs,Pd_ucl,Pd_lcl
2013-01-05 14:00:00,0.19444809237793623,,0.10507543934105583,0.2838207454148166
2013-01-05 15:00:00,0.1824214869221996,,0.09012988771457836,0.2747130861298208
2013-01-05 16:00:00,0.17626917686452634,,0.08115252699042216,0.27138582673863054
2013-01-05 17:00:00,0.18361428219899675,,0.08575485141096535,0.28147371298702817
2013-01-05 18:00:00,0.2042094939761351,,0.10368221716868886,0.30473677078358136
2013-01-05 19:00:00,0.22510757430288694,,0.12198146708889668,0.3282336815168772
2013-01-05 20:00:00,0.23567027383178976,,0.13000924134486286,0.34133130631871667
2013-01-05 21:00:00,0.2584885765991045,,0.1503520266257364,0.3666251265724726
2013-01-05 22:00:00,0.2520755069890865,,0.14151885604361028,0.3626321579345627
2013-01-05 23:00:00,0.21593536084354104,,0.10301046240009275,0.3288602592869893
2013-01-06 00:00:00,0.19512308616214413,,0.07987859738154292,0.31036757494274536
